Başlık,Marka,Ürün Modeli,Kullanım Amacı,Renk,Cihaz Ağırlığı,İşlemci Tipi,İşlemci,İşlemci Nesli,İşlemci Çekirdek Sayısı,İşlemci Cache,Temel İşlemci Hızı,Maksimum İşlemci Hızı,Ram (Sistem Belleği),Ram Tipi,Bellek Hızı,SSD Kapasitesi,Harddisk Kapasitesi,Ekran Boyutu,Ekran Panel Tipi,Max Ekran Çözünürlüğü,Ekran Özelliği,Ekran Yenileme Hızı,Ekran Kartı Tipi,Ekran Kartı,Ekran Kartı İşlemcisi,Ekran Kartı Hafızası,Ekran Kartı Bellek Tipi,İşletim Sistemi,Çekilme Zamanı,Fiyat (TRY),Link
"Lenovo V15 G3 Iap Intel Core I3-1215U 16GB 1 Tb SSD 15.6"" Fhd Windows 11 Pro 82TT00A0TXC053",Lenovo,Notebook,,Siyah,1 - 2 kg,Intel Core i3,1215U,12.Nesil,,10 MB Cache,,"4,4 GHz",16 GB,DDR4,3200 MHz,1 TB,Yok,"15,6 inç",TN,1920 x 1080,,,Dahili Ekran Kartı,Intel UHD Graphics,,Paylaşımlı,Onboard,Windows 11 Pro,2025-12-02 05:21:56,29.999 TL,https://www.hepsiburada.com/lenovo-v15-g3-iap-intel-core-i3-1215u-16gb-1-tb-ssd-15-6-fhd-windows-11-pro-82tt00a0txc053-pm-HBC00004NC05G
"HP 255 G10 Ryzen 5 7530U 16 GB 512 GB SSD Windows 11 Pro Taşınabilir Bilgisayar Radeon Graphics 15.6"" Full Hd Taşınabilir Bilgisayar 9G1G0ETCB2",HP,,Ofis ve İş,Metalik Gri,,AMD Ryzen 5,7530U,,,,2 GHz,"4,5 GHz",,DDR4,3200 MHz,,Yok,"15,6 inç",,1920 x 1080,Full HD,60 Hz,,AMD Radeon Graphics,AMD Radeon,Paylaşımlı,,Windows 11 Pro,2025-12-02 05:22:01,25.000 TL,https://www.hepsiburada.com/hp-255-g10-ryzen-5-7530u-16-gb-512-gb-ssd-windows-11-pro-tasinabilir-bilgisayar-radeon-graphics-15-6-full-hd-tasinabilir-bilgisayar-9g1g0etcb2-pm-HBC000092U52D
"Asus Vivobook 16X K3605VC-RP423 Intel Core i5 13420H 8GB 512GB SSD RTX3050 Freedos 16"" IPS Taşınabilir Bilgisayar",Asus,Notebook,,Gri,2 kg ve Altı,Intel Core i5,Intel Core i5,13.Nesil,,12 MB Cache,,"4,6 GHz",8 GB,DDR4,3200 MHz,512 GB,Yok,16 inç,IPS,1920 x 1200,,,Harici Ekran Kartı,Nvidia GeForce RTX 3050,,4 GB,GDDR6,Yok (Free Dos),2025-12-02 05:22:06,32.979 TL,https://www.hepsiburada.com/asus-vivobook-16x-k3605vc-rp423-intel-core-i5-13420h-8gb-512gb-ssd-rtx3050-freedos-16-ips-tasinabilir-bilgisayar-pm-HBC00008JFMJX
"HP Probook 450 G10 I5-1334U 32 GB 1 Tb SSD 15.6"" Windows 11 Pro Taşınabilir Bilgisayar 1A893AV K17",HP,Notebook,Ev Kullanıcıları - Öğrenci,Gri,2 kg ve Altı,Intel Core i5,1334U,13.Nesil,,12 MB L3 Cache,"3,4 GHz","4,6 GHz",32 GB,DDR4,3200 MHz,1 TB,Yok,"15,6 inç",IPS,1920 x 1080,Full HD,60 Hz,Dahili Ekran Kartı,Onboard,Paylaşımlı,Paylaşımlı,Onboard,Windows 11 Pro,2025-12-02 05:22:11,"51.261,50 TL",https://www.hepsiburada.com/hp-probook-450-g10-i5-1334u-32-gb-1-tb-ssd-15-6-windows-11-pro-tasinabilir-bilgisayar-1a893av-k17-pm-HBC00008OU7IG
"Lenovo Thinkbook 16P G5 Irx Intel Core I9 14900HX 32GB 1tb SSD RTX4060 Windows 11 Pro 16"" Wqsxga 165Hz IPS Taşınabilir Bilgisayar 21N50024TRA11",Lenovo,Oyun Bilgisayarları,,Gri,2 - 4 kg,Intel Core i9,Intel Core i9,14.Nesil,,36 MB Cache,"2,2 GHz","5,8 GHz",32 GB,DDR5,5600 MHz,1 TB,Yok,16 inç,IPS,3200 x 2000,,165 Hz,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce RTX 4060,Nvidia GeForce RTX,8 GB,GDDR6,Windows 11 Pro,2025-12-02 05:22:15,93.122 TL,https://www.hepsiburada.com/lenovo-thinkbook-16p-g5-irx-intel-core-i9-14900hx-32gb-1tb-ssd-rtx4060-windows-11-pro-16-wqsxga-165hz-ips-tasinabilir-bilgisayar-21n50024tra11-pm-HBC00007ETMBF
"HP Victus 16-R1001NTA42 Intel Core I7 14700HX 64GB 4tb SSD RTX4060 Windows 11 Pro 16.1"" Fhd 144Hz IPS Taşınabilir Bilgisayar 9J205EAA42",HP,Oyun Bilgisayarları,Oyun ve Eğlence,Mavi,2 - 4 kg,Intel Core i7,14700HX,14.Nesil,,33 MB Cache,"2,1 GHz","5,5 Ghz",64 GB,DDR5,5600 MHz,4 TB,Yok,"16,1 inç",IPS,1920 x 1080,Full HD,144 Hz,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce RTX 4060,Nvidia GeForce RTX,8 GB,GDDR6,Windows 11 Pro,2025-12-02 05:22:20,99.062 TL,https://www.hepsiburada.com/hp-victus-16-r1001nta42-intel-core-i7-14700hx-64gb-4tb-ssd-rtx4060-windows-11-pro-16-1-fhd-144hz-ips-tasinabilir-bilgisayar-9j205eaa42-pm-HBC00007CKL3R
"HP 15-FD0039NT Intel Core I7-1355U 16 GB 512 GB SSD 15.6"" Fhd Taşınabilir Bilgisayar + Microsoft Windows 11 Pro 64 Bit Türkçe USB Kutu",HP,Notebook,,Gri,1 - 2 kg,Intel Core i7,1355U,13.Nesil,,12 MB L3 Cache,,"5,5 Ghz",16 GB,DDR4,3200 MHz,512 GB,Yok,"15,6 inç",IPS,1920 x 1080,,,Dahili Ekran Kartı,Intel Iris Xe Graphics,,Paylaşımlı,Onboard,Windows 11 Pro,2025-12-02 05:22:24,"43.514,74 TL",https://www.hepsiburada.com/hp-15-fd0039nt-intel-core-i7-1355u-16-gb-512-gb-ssd-15-6-fhd-tasinabilir-bilgisayar-microsoft-windows-11-pro-64-bit-turkce-usb-kutu-pm-HBC00005I5BL4
Lenovo Ideapad Slim 3 15ABR8 Amd Ryzen 5-5625U 16GB 1tb SSD Amd Radeon Graphics 15.6 Fhd Freedos 82XM00QTTX Dizüstü Bilgisayar,Lenovo,Notebook,Ev Kullanıcıları - Öğrenci,Gri,2 kg ve Altı,AMD Ryzen 5,AMD Ryzen 5,5.Nesil,,16 MB L3 Cache,,"4,3 GHz",,DDR4,3200 MHz,,Yok,"15,6 inç",TN,1920 x 1080,Full HD,,Dahili Ekran Kartı,AMD Radeon Graphics,AMD Radeon,Paylaşımlı,Paylaşımlı,Yok (Free Dos),2025-12-02 05:22:29,25.559 TL,https://www.hepsiburada.com/lenovo-ideapad-slim-3-15abr8-amd-ryzen-5-5625u-16gb-1tb-ssd-amd-radeon-graphics-15-6-fhd-freedos-82xm00qttx-dizustu-bilgisayar-pm-HBC00009BF7ZI
"HP 250 G10 I5-1334U 16 GB 512 GB 15.6"" Windows 11 Pro FHD Taşınabilir Bilgisayar B2NC4ES02",HP,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-02 05:22:34,32.799 TL,https://www.hepsiburada.com/p-250-g10-i5-1334u-16-gb-512-gb-15-6-windows-11-pro-fhd-tasinabilir-bilgisayar-b2nc4es02-pm-HBC00008H0NCR
"Lenovo Thinkbook G6 Ryzen 7 7730U 32 GB Ram 1 Tb SSD 16"" Windows 11 Pro 21KK000WTR ZI716 + Zitek 16 GB Flash Bellek",Lenovo,Notebook,Ofis ve İş,Gri,1 - 2 kg,AMD Ryzen 7,AMD Ryzen 7,Ryzen,,16 MB L3 Cache,2 GHz,"4,5 GHz",32 GB,DDR4,3200 MHz,1 TB,Yok,16 inç,IPS,1920 x 1200,WUXGA,60 Hz,Dahili Ekran Kartı,AMD Radeon Graphics,,Paylaşımlı,Onboard,Windows 11 Pro,2025-12-02 05:22:38,41.999 TL,https://www.hepsiburada.com/lenovo-thinkbook-g6-ryzen-7-7730u-32-gb-ram-1-tb-ssd-16-windows-11-pro-21kk000wtr-zi716-zitek-16-gb-flash-bellek-pm-HBC00006G27R9
Asus B1400CEPE-EB0521 i5-1135G7 8 GB 256 GB SSD MX330 14'' Full HD Notebook Freedos,Asus,Notebook,Ofis ve İş,Siyah,1 - 2 kg,Intel Core i5,Intel Core i5,Yok,,8 MB Cache,"2,4 GHz","4,2 GHz",8 GB,DDR4,3200 MHz,256 GB,Yok,14 inç,LED,1920 x 1080,Full HD,,Harici Ekran Kartı,Nvidia GeForce MX330,Nvidia GeForce,2 GB,DDR5,Yok (Free Dos),2025-12-02 05:22:43,"59.167,50 TL",https://www.hepsiburada.com/asus-expertbook-b1400cepe-eb0521-intel-core-i5-1135g7-8gb-256gb-ssd-14-fhd-nvidia-geforce-mx330-2gb-freedos-tasinabilir-bilgisayar-pm-HBC00002EJW72
"Dell Inspiron 3520 I35201013U13 I7-1255U 32GB 512SSD 15.6"" Fullhd Windows 11 Pro Taşınabilir Bilgisayar Taşınabilir BILGISAYAR-CNT014",Dell,Notebook,,Koyu Gri,1 - 2 kg,Intel Core i7,Intel Core i7,12.Nesil,,12 MB Cache,,"4,7 GHz",32 GB,DDR4,3200 MHz,512 GB,Yok,"15,6 inç",WVA,1920 x 1080,,,Dahili Ekran Kartı,Intel Iris Xe Graphics,,Belirtilmemiş,Onboard,Windows 11 Pro,2025-12-02 05:22:48,34.155 TL,https://www.hepsiburada.com/dell-inspiron-3520-i35201013u13-i7-1255u-32gb-512ssd-15-6-fullhd-windows-11-pro-tasinabilir-bilgisayar-tasinabilir-bilgisayar-cnt014-pm-HBC00005M6RPY
"Lenovo Ideapad 3 Intel Core I3-1215U 12.nesil 16GB 512GB SSD UHD Graphics Windows 11 Pro 15.6"" Full Hd Dizüstü Bilgisayar 82RK00XBTX-C22 + Sırt Çantası Hediyeli",Lenovo,Notebook,,Metalik Gri,1 - 2 kg,Intel Core i3,1215U,12.Nesil,,10 MB Cache,,"4,4 GHz",16 GB,DDR4,2666 MHz,512 GB,Yok,"15,6 inç",LED,1920 x 1080,,,Dahili Ekran Kartı,Intel UHD Graphics,Intel UHD Graphics,Paylaşımlı,Onboard,Windows 11 Pro,2025-12-02 05:22:52,21.999 TL,https://www.hepsiburada.com/lenovo-ideapad-3-intel-core-i3-1215u-12-nesil-16gb-512gb-ssd-uhd-graphics-windows-11-pro-15-6-full-hd-dizustu-bilgisayar-82rk00xbtx-c22-sirt-cantasi-hediyeli-pm-HBC00005DFJFH
Asus Vivobook 15 Intel Core I7 1355U 16GB 1tb SSD 15.6' Fhd Windows 11 Pro Taşınabilir Bilgisayar X1504VA-NJ412 P30 + B210 Siyah Çanta,Asus,Notebook,,Gümüş,2 kg ve Altı,Intel Core i7,1335U,13.Nesil,,12 MB Cache,,5 GHz,16 GB,DDR4,3200 MHz,1 TB,Yok,"15,6 inç",TN,1920 x 1080,,,Dahili Ekran Kartı,Intel Iris Xe Graphics,,Paylaşımlı,DDR4,Windows 11 Pro,2025-12-02 05:22:57,33.090 TL,https://www.hepsiburada.com/asus-vivobook-15-intel-core-i7-1355u-16gb-1tb-ssd-15-6-fhd-windows-11-pro-tasinabilir-bilgisayar-x1504va-nj412-p30-b210-siyah-canta-pm-HBC00008ETNB2
HP Nb 3C3Y9ES 255 G10 R5-7530U/8/512/DOS,HP,Notebook,,"Gri, Gri",2 kg ve Altı,AMD Ryzen 5,7530U,7.Nesil,,6 MB Cache,,"4,5 GHz",8 GB,DDR4,3200 MHz,Yok,512 GB,"15,6 inç",FHD,1920 x 1080,Full HD,60 Hz,Harici Ekran Kartı,Belirtilmemiş,,Belirtilmemiş,Onboard,Yok (Free Dos),2025-12-02 05:23:01,18.674 TL,https://www.hepsiburada.com/hp-nb-3c3y9es-255-g10-r5-7530u-8-512-dos-pm-HBC00008P91OZ
"Lenovo Loq 15IRX9 Intel Core I7 13650HX 32GB 1tb SSD RTX3050 Windows 11 Pro 15.6"" 144Hz Fhd Taşınabilir Bilgisayar 83DV00G5TRA12",Lenovo,Oyun Bilgisayarları,Oyun ve Eğlence,Koyu Gri,2 - 4 kg,Intel Core i7,13650HX,13.Nesil,,24 MB Cache,,"4,9 GHz",32 GB,DDR5,4800 MHz,1 TB,Yok,"15,6 inç",IPS,1920 x 1080,Full HD,144 Hz,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce RTX 3050,Nvidia GeForce RTX,6 GB,GDDR6,Windows 11 Pro,2025-12-02 05:23:06,"60.624,04 TL",https://www.hepsiburada.com/lenovo-loq-15irx9-intel-core-i7-13650hx-32gb-1tb-ssd-rtx3050-windows-11-pro-15-6-144hz-fhd-tasinabilir-bilgisayar-83dv00g5tra12-pm-HBC00006XPL09
Lenovo Loq 15ARP9 Aı Amd Ryzen 7-7435HS 64GB Ddr5 1tb SSD RTX4060 8gddr6 15.6 IPS 144Hz Fhd Freedos 83JC000UTR-641 Dizüstü Bilgisayar,Lenovo,Oyun Bilgisayarları,Oyun ve Eğlence,Siyah,2 - 4 kg,AMD Ryzen 7,7435HS,7.Nesil,,16 MB L3 Cache,"3,1 GHz","4,5 GHz",64 GB,DDR5,4800 MHz,1 TB,,"15,6 inç",IPS,1920 x 1080,Full HD,144 Hz,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce RTX 4060,Nvidia GeForce RTX,8 GB,GDDR6,Yok (Free Dos),2025-12-02 05:23:11,"83.999,01 TL",https://www.hepsiburada.com/lenovo-loq-15arp9-ai-amd-ryzen-7-7435hs-64gb-ddr5-1tb-ssd-rtx4060-8gddr6-15-6-ips-144hz-fhd-freedos-83jc000utr-641-dizustu-bilgisayar-pm-HBC00006ZUMZE
"Lenovo Ideapad Slim 3 Intel Core I5 12450H 16GB 1tb SSD Windows 11 Pro 15.6"" Fhd Taşınabilir Bilgisayar 83ER00FWTR + Boz Çanta",Lenovo,Notebook,Ofis ve İş,Gri,2 kg ve Altı,Intel Core i5,Intel Core i5,12.Nesil,,12 MB Cache,"3,3 GHz","4,4 GHz",16 GB,DDR5,4800 MHz,1 TB,Yok,"15,6 inç",TN,1920 x 1080,Full HD,60 Hz,Dahili Ekran Kartı,Intel UHD Graphics,Intel UHD Graphics,Paylaşımlı,Onboard,Windows 11 Pro,2025-12-02 05:23:16,27.999 TL,https://www.hepsiburada.com/lenovo-ideapad-slim-3-intel-core-i5-12450h-16gb-1tb-ssd-windows-11-pro-15-6-fhd-tasinabilir-bilgisayar-83er00fwtr-boz-canta-pm-HBC00007IJKAX
"Lenovo Ideapad Slim 3 Intel Core I5 13420H 16GB 1tb SSD Freedos 15.3"" Wuxga 300NIT IPS Taşınabilir Bilgisayar 83K1004ETRA22",Lenovo,Notebook,Ofis ve İş,Gri,2 kg ve Altı,Intel Core i5,13420H,13.Nesil,8,12 MB Cache,"2,1 GHz","4,6 GHz",,DDR5,4800 MHz,,Yok,"15,3 inç",IPS,1920 x 1200,WUXGA,60 Hz,Paylaşımlı,Paylaşımlı,Intel UHD Graphics,Paylaşımlı,Paylaşımlı,Yok (Free Dos),2025-12-02 05:23:20,28.268 TL,https://www.hepsiburada.com/lenovo-ideapad-slim-3-intel-core-i5-13420h-16gb-1tb-ssd-freedos-15-3-wuxga-300nit-ips-tasinabilir-bilgisayar-83k1004etra22-pm-HBC0000AKNHDU
"Dell Inspiron 3520 Intel Core i7-1255U 8GB 512GB SSD 15.6"" FHD 120 Hz Ubuntu Taşınabilir Bilgisayar I35201013U",Dell,Notebook,Ofis ve İş,Siyah,1 - 2 kg,Intel Core i7,Intel Core i7,12.Nesil,,12 MB Cache,"1,7 GHz","4,7 GHz",8 GB,DDR4,2666 MHz,512 GB,Yok,"15,6 inç",WVA,1920 x 1080,Full HD,,Dahili Ekran Kartı,Intel UHD Graphics,Intel UHD Graphics,Paylaşımlı,Onboard,Ubuntu,2025-12-02 05:23:25,"27.589,27 TL",https://www.hepsiburada.com/dell-inspiron-3520-intel-core-i7-1255u-8gb-512gb-ssd-15-6-fhd-ubuntu-tasinabilir-bilgisayar-intel-core-i35201013u-pm-HBC000038VPBA
"Apple MacBook Pro M4 Max 48GB 1TB SSD macOS 16"" Taşınabilir Bilgisayar Gümüş MX2W3TU/A",Apple,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-02 05:23:30,223.100 TL,https://www.hepsiburada.com/apple-macbook-pro-m4-max-48gb-1tb-ssd-macos-16-tasinabilir-bilgisayar-gumus-mx2w3tu-a-p-HBCV000078IMBE
"Lenovo Thinkbook 16 G6 Irl 21KH00WATR-01 Intel Core I7-13700H 32GB Ddr5 1tb SSD Wuxga 16"" Freedos Taşınabilir Bilgisayar",Lenovo,Notebook,,Gri - Koyu Gri,2 kg ve Altı,Intel Core i7,13700H,13.Nesil,,24 MB Cache,,5 GHz,,DDR5,5200 MHz,,Yok,16 inç,WUXGA,1920 x 1200,WUXGA,,Paylaşımlı,Paylaşımlı,,Paylaşımlı,Onboard,Yok (Free Dos),2025-12-02 05:23:35,45.999 TL,https://www.hepsiburada.com/lenovo-thinkbook-16-g6-irl-21kh00watr-01-intel-core-i7-13700h-32gb-ddr5-1tb-ssd-wuxga-16-freedos-tasinabilir-bilgisayar-p-HBCV0000AEOZZW
"Lenovo Thinkbook 16 G6 Irl 21KH00WATR-08 Intel Core I7-13700H 64GB Ddr5 2tb SSD Wuxga 16"" Freedos Taşınabilir Bilgisayar",Lenovo,Notebook,,Gri - Koyu Gri,2 kg ve Altı,Intel Core i7,13700H,13.Nesil,,24 MB Cache,,5 GHz,,DDR5,5200 MHz,,Yok,16 inç,WUXGA,1920 x 1200,WUXGA,,Paylaşımlı,Paylaşımlı,,Paylaşımlı,Onboard,Yok (Free Dos),2025-12-02 05:23:39,58.999 TL,https://www.hepsiburada.com/lenovo-thinkbook-16-g6-irl-21kh00watr-08-intel-core-i7-13700h-64gb-ddr5-2tb-ssd-wuxga-16-freedos-tasinabilir-bilgisayar-p-HBCV0000AEORGK
"Lenovo Thinkbook 16 G6 Irl 21KH00WATR Intel Core I7-13700H 32GB Ddr5 512GB SSD Wuxga 16"" Freedos Taşınabilir Bilgisayar",Lenovo,Notebook,,Gri - Koyu Gri,2 kg ve Altı,Intel Core i7,13700H,13.Nesil,,24 MB Cache,,5 GHz,,DDR5,5200 MHz,,Yok,16 inç,WUXGA,1920 x 1200,,,Paylaşımlı,Paylaşımlı,,Paylaşımlı,Onboard,Yok (Free Dos),2025-12-02 05:23:44,42.999 TL,https://www.hepsiburada.com/lenovo-thinkbook-16-g6-irl-21kh00watr-intel-core-i7-13700h-32gb-ddr5-512gb-ssd-wuxga-16-freedos-tasinabilir-bilgisayar-p-HBCV0000AEMOH5
"Lenovo Thinkbook 16 G6 Irl 21KH00WATR-06 Intel Core I7-13700H 64GB Ddr5 512GB SSD Wuxga 16"" Freedos Taşınabilir Bilgisayar",Lenovo,Notebook,,Gri - Koyu Gri,2 kg ve Altı,Intel Core i7,13700H,13.Nesil,,24 MB Cache,,5 GHz,,DDR5,5200 MHz,,Yok,16 inç,WUXGA,1920 x 1200,WUXGA,,Paylaşımlı,Paylaşımlı,,Paylaşımlı,Onboard,Yok (Free Dos),2025-12-02 05:23:49,52.999 TL,https://www.hepsiburada.com/lenovo-thinkbook-16-g6-irl-21kh00watr-06-intel-core-i7-13700h-64gb-ddr5-512gb-ssd-wuxga-16-freedos-tasinabilir-bilgisayar-p-HBCV0000AFBE6B
"Lenovo Thinkbook 16 G6 Irl 21KH00WATR-07 Intel Core I7-13700H 64GB Ddr5 1tb SSD Wuxga 16"" Freedos Taşınabilir Bilgisayar",Lenovo,Notebook,,Gri - Koyu Gri,2 kg ve Altı,Intel Core i7,13700H,13.Nesil,,24 MB Cache,,5 GHz,,DDR5,5200 MHz,,Yok,16 inç,WUXGA,1920 x 1200,WUXGA,,Paylaşımlı,Paylaşımlı,,Paylaşımlı,Onboard,Yok (Free Dos),2025-12-02 05:23:53,56.999 TL,https://www.hepsiburada.com/lenovo-thinkbook-16-g6-irl-21kh00watr-07-intel-core-i7-13700h-64gb-ddr5-1tb-ssd-wuxga-16-freedos-tasinabilir-bilgisayar-p-HBCV0000AEPHRL
"Lenovo Thinkbook 16 G6 Irl 21KH00WATR-02 Intel Core I7-13700H 32GB Ddr5 2tb SSD Wuxga 16"" Freedos Taşınabilir Bilgisayar",Lenovo,Notebook,,Gri - Koyu Gri,2 kg ve Altı,Intel Core i7,13700H,13.Nesil,,24 MB Cache,,5 GHz,,DDR5,5200 MHz,,Yok,16 inç,WUXGA,1920 x 1200,,,Paylaşımlı,Paylaşımlı,,Paylaşımlı,Onboard,Yok (Free Dos),2025-12-02 05:23:58,48.999 TL,https://www.hepsiburada.com/lenovo-thinkbook-16-g6-irl-21kh00watr-02-intel-core-i7-13700h-32gb-ddr5-2tb-ssd-wuxga-16-freedos-tasinabilir-bilgisayar-p-HBCV0000AELVKL
"Lenovo Ideapad Slim 3 Intel Core I7-13620H 16GB 1tb SSD Windows 11 Pro 16"" Taşınabilir Bilgisayar Snertech",Lenovo,Notebook,,Gri,1 - 2 kg,Intel Core i7,Intel Core i7,13.Nesil,,24 MB Cache,,"4,9 GHz",16 GB,,4800 MHz,1 TB,Yok,16 inç,IPS,1920 x 1080,Full HD,,Dahili Ekran Kartı,Intel UHD Graphics,,Paylaşımlı,Onboard,Windows 11 Pro,2025-12-02 05:24:03,36.499 TL,https://www.hepsiburada.com/lenovo-ideapad-slim-3-intel-core-i7-13620h-16gb-1tb-ssd-windows-11-pro-15-6-tasinabilir-bilgisayar-83em005utr-snertech-pm-HBC000067JHAO
"Asus ExpertBook P1503CVA-I716512S2D i7-13700H 16Gb Ram 512Gb Ssd 15.6"" FullHD FreeDos Dizüstü Bilgisayar",Asus,Notebook,Ofis ve İş,"Gri, Gri",2 kg ve Altı,Intel Core i7,13700H,13.Nesil,14,24 MB Cache,"2,4 GHz",5 GHz,,DDR5,5200 MHz,,Yok,"15,6 inç",TN,1920 x 1080,,60 Hz,Dahili Ekran Kartı,Paylaşımlı,Intel UHD Graphics,Paylaşımlı,Paylaşımlı,FreeDos,2025-12-02 05:24:07,"31.767,37 TL",https://www.hepsiburada.com/asus-expertbook-p1503cva-i716512s2d-i7-13700h-16gb-512gb-freedos-15-6-tasinabilir-bilgisayar-pm-HBC0000A57ICF
"Asus Zenbook Duo UX8406CA-PZ208W Intel Core Ultra 9 285H 32GB 2TB SSD Windows 11 Home 14"" OLED Taşınabilir Bilgisayar",Asus,Ultrabook,,Gri,2 kg ve Altı,Intel Core Ultra 9,285H,Yok,,24 MB Cache,,"5,4 GHz",32 GB,LPDDR5X,7467 MHz,2 TB,Yok,14 inç,OLED,2880 x 1800,,,Dahili Ekran Kartı,Intel Arc Graphics,,Paylaşımlı,Onboard,Windows 11 Home,2025-12-02 05:24:12,141.999 TL,https://www.hepsiburada.com/asus-zenbook-duo-ux8406ca-pz208w-intel-core-ultra-9-285h-32gb-2tb-ssd-windows-11-home-14-oled-tasinabilir-bilgisayar-pm-HBC00007WBR3A
"Asus ROG Strix G18 G815LW-S9125 Intel Core Ultra 9 275HX 32GB 1TB SSD RTX5080 Freedos 18"" WQXGA Taşınabilir Bilgisayar",Asus,Oyun Bilgisayarları,,Siyah,2 - 4 kg,Intel Core Ultra 9,275HX,Intel Core Ultra Serisi,,36 MB Cache,,"5,4 GHz",32 GB,DDR5,5600 MHz,1 TB,Yok,18 inç,IPS,2560 x 1600,,,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce RTX 5080,,16 GB,GDDR7,Yok (Free Dos),2025-12-02 05:24:16,181.699 TL,https://www.hepsiburada.com/asus-rog-strix-g18-g815lw-s9125-intel-core-ultra-9-275hx-32gb-1tb-ssd-rtx5080-freedos-18-wqxga-tasinabilir-bilgisayar-pm-HBC00007ZD90O
Lenovo Thinkpad E16 Gen 2 21MA009ATX ULTRA7-155H 32 GB 1 Tb SSD 16'' Wuxga Freedos Dizüstü Bilgisayar,Lenovo,Notebook,Ofis ve İş,"Siyah, Siyah",2 kg ve Altı,Intel Core Ultra 7,155H,Intel Core Ultra Serisi,16,24 MB Cache,"1,4 GHz","4,8 GHz",32 GB,DDR5,5600 MHz,1 TB,Yok,16 inç,IPS,1920 x 1200,WUXGA,60 Hz,Dahili Ekran Kartı,Intel Arc Graphics,Intel Arc Graphics,Paylaşımlı,Paylaşımlı,Yok (Free Dos),2025-12-02 05:24:21,52.999 TL,https://www.hepsiburada.com/lenovo-thinkpad-e16-gen-2-21ma009atx-ultra7-155h-32-gb-1-tb-ssd-16-wuxga-freedos-dizustu-bilgisayar-pm-HBC00008DBZG4
"Asus Vivobook 15 X1504ZA-NJ1267 Intel Core i3 1215U 8GB 512GB SSD Freedos 15.6"" Taşınabilir Bilgisayar",Asus,Notebook,,Mavi,,Intel Core i3,1215U,12.Nesil,,10 MB Cache,,"4,4 GHz",8 GB,DDR4,3200 MHz,512 GB,Yok,"15,6 inç",FHD,1920 x 1080,,,Dahili Ekran Kartı,Paylaşımlı,,Belirtilmemiş,Onboard,Yok (Free Dos),2025-12-02 05:24:26,16.299 TL,https://www.hepsiburada.com/asus-vivobook-15-x1504za-nj1267-intel-core-i3-1215u-8gb-512gb-ssd-freedos-15-6-tasinabilir-bilgisayar-pm-HBC00007689NG
"Monster HUMA H4 V5.1.12 Rose Gold Intel Core i5 1235U 16 GB RAM 1 TB SSD Windows 11 14,1'' FHD 60 Hz Taşınabilir Bilgisayar",Monster,Notebook,Ofis ve İş,Rose,1 - 2 kg,Intel Core i5,Intel Core i5,12.Nesil,,12 MB Cache,"1,3 GHz","4,4 GHz",,DDR4,3200 MHz,,Yok,"14,1 inç",IPS,1920 x 1080,Full HD,60 Hz,Dahili Ekran Kartı,Intel Iris Xe Graphics,Intel Irıs Graphics,Paylaşımlı,Onboard,Windows 11 Home,2025-12-02 05:24:31,46.899 TL,https://www.hepsiburada.com/monster-huma-h4-v5-1-12-intel-core-i5-1235u-16gb-ram-1tb-ssd-windows-11-14-1-fhd-rose-gold-tasinabilir-bilgisayar-pm-HBC000042BU58
"Dell Inspiron 3520 I7 1255U 32GB 1tb M.2 SSD I35201013U ATL136 O/b 15.6"" WIN11PRO Taşınabilir Bilgisayar",Dell,Notebook,Ofis ve İş,Siyah,2 kg ve Altı,Intel Core i7,1255U,12.Nesil,10,12 MB Cache,"1,7 GHz","4,7 GHz",,DDR4,3200 MHz,,Yok,"15,6 inç",TN,1920 x 1080,Full HD,120 Hz,Dahili Ekran Kartı,Intel Iris Xe Graphics,Paylaşımlı,Paylaşımlı,Paylaşımlı,Windows 11 Pro,2025-12-02 05:24:36,"36.784,05 TL",https://www.hepsiburada.com/dell-inspiron-3520-i7-1255u-32gb-1tb-m-2-ssd-i35201013u-atl136-o-b-15-6-win11pro-tasinabilir-bilgisayar-pm-HBC0000928ELQ
"HP 250 G9 Intel Core I5-1235U 8gb 512GB SSD Freedos 15.6""fhd Laptop 9M3F8AT",HP,Notebook,Ofis ve İş,Gri,2 kg ve Altı,Intel Core i5,Intel Core i5,12.Nesil,,12 MB L3 Cache,1 GHz,"4,4 GHz",8 GB,DDR4,3200 MHz,512 GB,Yok,"15,6 inç",SVA,1920 x 1080,Full HD,,Dahili Ekran Kartı,Paylaşımlı,,Paylaşımlı,Paylaşımlı,Yok (Free Dos),2025-12-02 05:24:41,"38.396,08 TL",https://www.hepsiburada.com/hp-250-g9-intel-core-i5-1235u-8gb-512gb-ssd-freedos-15-6-fhd-laptop-9m3f8at-pm-HBC00007FD396
